Timestamp,Website,TTI,Total Blocking Time (ms)
21/04/2025 03:49,A,6.7,4226.733
21/04/2025 03:51,B,6.6,4443.487
21/04/2025 03:53,C,4.6,3051.7595
21/04/2025 03:54,D,2.4,0
