Timestamp,Website,DNS Lookup (ms),TCP Connection (ms),SSL Handshake (ms),TTFB (ms),Response Time (ms),DOM Content Loaded (ms),Total Load Time (ms)
21/04/2025 03:49,A,0,0,0,1,1,0,1586
21/04/2025 03:51,B,0,0,0,1,1,1,1598
21/04/2025 03:53,C,0,0,0,1,1,0,1074
21/04/2025 03:54,D,0,0,0,1,0,0,85
