Timestamp,User,FCP,LCP,Speed Index
2025-04-21 03:50:23,,2.3,2.4,6.3
2025-04-21 03:52:00,,2.1,2.1,2.1
2025-04-21 03:53:38,,1.5,1.7,4.3
2025-04-21 03:54:47,,2.4,2.4,2.4
2025-05-08 09:51:58,,2.3,8.2,2.3
2025-05-08 11:10:00,,2.5,3.8,2.5
